Ref;Variant
POUF;Pouf
2SF;Sofa With Bed Function
M;Pocket Spring Mattress
2S;Sofa
3S;Sofa
CHL;Chaise Longue Left
CHR;Chaise Longue Right
4S;Sofa
LC;Left Corner Sofa
RC;Right Corner Sofa
BCH;Bench
TAB_EXT;Extendable Table
TAB;Coffee Table
BF140;Storage Bed With Headboard
BF160;Storage Bed With Headboard
BF180;Storage Bed With Headboard
U;Panoramic Sofa
HB140;Headboard
HB160;Headboard
HB180;Headboard
HB200;Headboard
UL;Panoramic Left Corner Sofa
UR;Panoramic Right Corner Sofa
LCO;Modular Left Corner Sofa
RCO;Modular Right Corner Sofa
ARM;Boucle Armchair
BF200;Storage Bed With Headboard
BFD140;Storage Bed With Double Headboard
BFD160;Storage Bed With Double Headboard
BFD180;Storage Bed With Double Headboard
BFD200;Storage Bed With Double Headboard
B90x200;Base
B180x200;Base
B160x200;Base
B140x200;Base
B200x200;Base
3SF;Sofa With Bed Function And Box
3SO;Sofa
COR;Symmetrical Corner Sofa
LCF;Left Corner Sofa With Bed Function
RCF;Right Corner Sofa With Bed Function
3SOL;Left Sofa
3SOR;Right Sofa
NS;Nightstand
RU;Panoramic Sofa
RLC;Left Corner Sofa
RRC;Right Corner Sofa
RUR;Panoramic Right Corner Sofa
RUL;Panoramic Left Corner Sofa
R3SOL;Left Sofa
R3SOR;Right Sofa
RLCO;Left Corner Sofa
RRCO;Right Corner Sofa
RCORO;Symmetrical Corner Sofa
R4SOL;Left Sofa
R4SOR;Right Sofa
1S;Modul Armless
1SR;Modul Right
1SL;Modul Left
SET1;Modular Sofa
SET2;Modular Sofa
SET3L;Left Modular Sofa
SET3R;Right Modular Sofa
1SC;Modul Corner
2SOL;Sitting Module Open Left Side
2SOR;Sitting Module Open Right Side
02S;Modular Sofa
0SET1;Modular Sofa
0SET2;Modular Sofa
SET4L;Modular Left Corner Sofa
SET4R;Modular Right Corner Sofa
SET5L;Modular Left Corner Sofa
SET5R;Modular Right Corner Sofa
SET6L;Modular Panoramic Left Corner Sofa
SET6R;Modular Panoramic Right Corner Sofa
B160;Boxspring Bed Set: Headboard + Box Springs/Mattress + Mattress Topper
B140;Boxspring Bed Set: Headboard + Box Springs/Mattress + Mattress Topper
B180;Boxspring Bed Set: Headboard + Box Springs/Mattress + Mattress Topper
UC;Panoramic Sofa
R1SL;Modul Left
R1SR;Modul Right
03S;Modular Sofa
CH;Chair
0LCO;Modular Left Open Corner Sofa
0RCO;Modular Right Open Corner Sofa
0LC;Modular Left Corner Sofa
0RC;Modular Right Corner Sofa
0SET1L;Left Modular Sofa
0SET1R;Right Modular Sofa
SET1L;Left Modular Sofa
SET1R;Right Modular Sofa
R1S;Modul Armless
PIL50x20;Pillow
PIL45x45;Pillow
2SL;Left Modular Sofa
2SR;Right Modular Sofa
3SL;Left Modular Sofa
3SR;Right Modular Sofa
5S;Modular Sofa
TAB2;Table
TAB1;Table
RPOUF;Pouf
SET2R;Right Modular Sofa
SET2L;Left Modular Sofa
SET7R;Right Modular Sofa
SET7L;Left Modular Sofa
CHSET2;Set Of 2 Chairs
PIL;Pillow
CH4;Chair
CH1;Chair
CH2;Chair
CH3;Chair
MIR;Mirror
CON;Console
COM;Commode
RTV;TV Cabinet
POT;Flower Pot
CAR;Carpet
3SF1;Sofa With Bed Function And Box
3SF2;Sofa With Bed Function And Box
URF;Panoramic Right Sofa with Box and Sleeping Function
ULF;Panoramic Left Sofa with Box and Sleeping Function
CORF;Reversible Corner Sofa With Bed Function And Box
UF;Panoramic Sofa with Box and Sleeping Function
MLC;Left Corner Sofa
MRC;Right Corner Sofa
CHS;Chaise Longue
LS;Loveseat
4SF;Sofa With Bed Function
4SOL;Modular Left Open Sofa
4SOR;Modular Right Open Sofa
CORO;Modular Symmetrical Corner Sofa
2SP;Modular Sofa
ULO;Modular Panoramic Left Open Corner Sofa
URO;Modular Panoramic Right Open Corner Sofa
HR;Headrest
PIL50x28;Decorativ Cushion
PIL65x40;Decorativ Cushion
PIL40x40;Decorativ Cushion
PIL50x50;Decorativ Cushion
MP3x3;Sitting Module 3x3
MP3x2;Sitting Module 3x2
MP2x2;Sitting Module 2x2
PIL55x50;Pillow
PIL55x13;Pillow
MA3;Armrest Module 3
MB3;Backrest Module 3
MB2;Backrest Module 2
PIL42x42;Pillow
BD140;Boxspring Bed Set
BD160;Boxspring Bed Set
BD180;Boxspring Bed Set
0SET6L;Modular Panoramic Left Corner Sofa
0SET6R;Modular Panoramic Right Corner Sofa
RURO;Modular Panoramic Right Corner Sofa
RULO;Modular Panoramic Left Corner Sofa
B200;Boxspring Bed Set: Headboard + Box Springs/Mattress + Mattress Topper
SC;Modul Corner
1SOL;Sitting Module Open Left Side
1SOR;Sitting Module Open Right Side
PIL40x65;Decorativ Cushion
PIL30x50;Decorativ Cushion
4SM;Modular Sofa
5SM;Modular Sofa
LCH;Lounge Chair
SH;Bookcase
LCFO;Left Corner Sofa With Bed Function And Box
RCFO;Right Corner Sofa With Bed Function And Box
COV;Sofa Cover
04SF;Sofa With Bed Function And Box
